NAME,PCODE,Date,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,장타,출루,OPS
LT김민수,67504,2021-05-12,8,31,2,8,2,0,1,13,5,0,0,3,0,0,11,0,1,0,136,6.0,0.25806451612903225,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,0.4117647058823529,0.34210526315789475,0.7538699690402477
LT김민수,67504,2021-06-05,17,68,9,19,4,1,1,28,9,0,0,7,0,0,12,3,0,1,295,9.0,0.2794117647058824,0.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,11.0,7.0,0.15384615384615385,0.26666666666666666,0.4205128205128205
WO김재현,62332,2018-06-07,10,30,4,5,1,0,1,9,2,0,0,1,2,0,10,1,0,1,125,2.0,0.16666666666666666,0.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,10.0,6.0,0.3448275862068966,0.30303030303030304,0.6478578892371996
WO김재현,62332,2018-07-25,11,35,5,12,1,0,1,16,9,0,0,1,1,0,5,0,2,1,126,3.0,0.3428571428571429,2.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,8.0,10.0,0.3636363636363637,0.2727272727272727,0.6363636363636364
WO김재현,62332,2018-09-11,13,36,2,6,0,0,0,6,1,0,0,2,0,0,10,1,2,0,145,1.0,0.16666666666666666,2.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,2.0,2.0,10.0,7.0,0.125,0.2222222222222222,0.3472222222222222
가르시아,68103,2018-09-08,9,38,2,8,1,0,1,12,3,0,0,2,1,0,6,0,0,2,178,4.0,0.21052631578947367,0.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,8.0,4.0,0.2727272727272727,0.38461538461538464,0.6573426573426573
강경학,61700,2018-06-03,16,67,14,28,4,1,3,43,13,1,0,8,1,0,14,3,0,0,298,11.0,0.41791044776119396,6.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,10.0,10.0,0.373134328358209,0.35526315789473684,0.7283974862529459
강경학,61700,2018-06-27,17,67,10,18,4,0,1,25,5,3,1,8,1,0,13,1,1,0,320,7.0,0.26865671641791045,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,7.0,10.0,0.2258064516129032,0.34210526315789475,0.5679117147707979
강경학,61700,2018-07-21,16,62,9,13,1,0,0,14,6,1,1,12,1,0,16,2,0,1,344,0.0,0.20967741935483872,0.0,3.0,4.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,11.0,6.0,0.5,0.5,1.0
강경학,61700,2018-09-07,10,33,6,5,0,0,1,8,2,0,0,6,1,0,9,1,0,0,176,2.0,0.15151515151515152,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,7.0,8.0,0.4,0.3,0.7
강경학,61700,2019-06-09,16,55,10,12,1,0,0,13,5,0,0,7,2,0,12,1,3,1,279,6.0,0.21818181818181814,2.0,0.0,0.0,5.0,3.0,0.0,2.0,3.0,2.0,0.0,11.0,6.0,0.2631578947368421,0.25,0.513157894736842
강경학,61700,2020-06-25,9,33,6,9,2,0,0,11,1,0,1,10,0,0,7,0,0,0,182,2.0,0.2727272727272727,2.0,2.0,5.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,8.0,11.0,0.3333333333333333,0.3225806451612903,0.6559139784946236
강경학,61700,2020-08-12,13,39,3,8,1,0,1,12,6,0,1,8,1,0,14,0,2,1,225,3.0,0.20512820512820512,2.0,0.0,2.0,4.0,1.0,0.0,2.0,1.0,4.0,2.0,8.0,10.0,0.3902439024390244,0.34,0.7302439024390244
강경학,61700,2020-09-05,13,41,6,9,1,0,2,16,7,0,0,6,2,0,16,2,1,1,196,1.0,0.2195121951219512,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,10.0,8.0,0.32558139534883723,0.32653061224489793,0.6521120075937352
강경학,61700,2020-09-29,12,43,3,10,2,1,0,14,2,1,0,6,0,0,14,0,1,0,220,3.0,0.2325581395348837,0.0,5.0,4.0,3.0,5.0,0.0,0.0,3.0,4.0,0.0,10.0,10.0,0.3,0.2727272727272727,0.5727272727272728
강로한,65515,2019-04-29,19,80,12,20,6,2,1,33,9,1,0,2,1,0,30,1,0,1,322,5.0,0.25,3.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,9.0,11.0,0.15,0.2272727272727273,0.3772727272727273
강로한,65515,2019-06-16,10,35,2,14,3,0,1,20,3,1,0,3,0,0,14,0,0,0,156,4.0,0.4,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,9.0,0.45,0.24390243902439024,0.6939024390243902
강로한,65515,2019-07-10,11,40,2,9,2,2,1,18,7,0,1,0,1,0,13,1,0,0,141,2.0,0.225,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,7.0,5.0,0.2807017543859649,0.2459016393442623,0.5266033937302272
강로한,65515,2019-08-03,18,57,10,11,3,1,0,16,2,2,0,3,1,0,17,1,0,0,232,6.0,0.19298245614035087,0.0,0.0,2.0,1.0,4.0,2.0,4.0,0.0,2.0,2.0,9.0,10.0,0.3333333333333333,0.2571428571428571,0.5904761904761904
강로한,65515,2019-08-27,12,33,5,7,1,0,1,11,1,1,0,2,0,0,15,0,0,0,134,4.0,0.21212121212121213,2.0,4.0,3.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,6.0,10.0,0.18181818181818185,0.25,0.4318181818181818
강민국,64906,2019-04-28,13,43,4,13,0,1,0,15,5,1,0,1,0,0,11,1,0,0,179,2.0,0.3023255813953488,3.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,9.0,7.0,0.1875,0.3157894736842105,0.5032894736842105
강민국,64906,2020-09-27,12,36,4,9,3,0,0,12,3,0,1,3,0,0,7,0,1,0,165,5.0,0.25,6.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,12.0,6.0,0.15384615384615385,0.26666666666666666,0.4205128205128205
